	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	69.58	70.49	69.87	70.04	0.4008	0.6973	0.7692	0.7138
Fold 1	72.92	73.36	72.92	73.14	0.4628	0.7292	0.7714	0.7259
Fold 2	72.5	68.44	69.32	70.45	0.4097	0.7088	0.762	0.7347
Fold 3	71.97	68.85	69.35	70.39	0.4083	0.7064	0.7541	0.7372
Fold 4	65.69	63.11	63.56	64.39	0.2881	0.6461	0.7321	0.7115
Fold 5	71.13	68.03	68.55	69.57	0.3917	0.6982	0.7522	0.7179
Fold 6	66.25	71.6	69.74	68.94	0.3791	0.6795	0.7484	0.7282
Fold 7	69.58	67.08	67.61	68.32	0.3667	0.6858	0.7365	0.6979
Fold 8	69.17	73.25	71.86	71.22	0.4246	0.7049	0.7703	0.7787
Fold 9	69.17	62.55	64.59	65.84	0.3178	0.668	0.7292	0.6813
Mean	69.796	68.676	68.737	69.23	0.385	0.6924	0.7525	0.7227
Indep	67.15	70.83	70.5	68.96	0.38	0.6879	0.7487	0.7277
