	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	42.5	54.92	48.11	48.76	-0.026	0.4513	0.4929	0.4937
Fold 1	44.17	60.66	52.48	52.48	0.0489	0.4796	0.5447	0.5557
Fold 2	43.75	59.02	51.22	51.45	0.028	0.4719	0.5178	0.5035
Fold 3	42.68	64.34	53.97	53.62	0.0719	0.4766	0.5414	0.532
Fold 4	37.24	66.8	52.35	52.17	0.0423	0.4352	0.5284	0.533
Fold 5	38.08	54.92	45.27	46.58	-0.0711	0.4136	0.4647	0.48
Fold 6	45.42	62.55	54.5	54.04	0.0809	0.4955	0.537	0.5375
Fold 7	37.92	59.67	48.15	48.86	-0.0247	0.4242	0.4849	0.4903
Fold 8	44.17	60.49	52.48	52.38	0.0472	0.4796	0.5123	0.4966
Fold 9	47.92	53.09	50.22	50.52	0.01	0.4904	0.5023	0.5091
Mean	42.385	59.646	50.875	51.086	0.0207	0.4618	0.5126	0.5131
Indep	44.16	62.88	55.25	53.35	0.0716	0.4909	0.5242	0.5211
