	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	78.75	56.15	63.85	67.36	0.358	0.7052	0.7505	0.7418
Fold 1	74.58	63.52	66.79	69.01	0.3833	0.7047	0.7343	0.7107
Fold 2	78.75	54.1	62.79	66.32	0.3387	0.6987	0.741	0.7335
Fold 3	78.66	63.11	67.63	70.81	0.4226	0.7273	0.7452	0.6953
Fold 4	77.41	58.2	64.46	67.7	0.3625	0.7034	0.7446	0.7349
Fold 5	76.99	55.33	62.8	66.05	0.3307	0.6917	0.7426	0.7418
Fold 6	73.33	57.61	63.08	65.42	0.3133	0.6782	0.712	0.7034
Fold 7	72.92	58.85	63.64	65.84	0.3207	0.6796	0.708	0.7025
Fold 8	72.5	55.56	61.7	63.98	0.2846	0.6667	0.6968	0.7092
Fold 9	78.75	58.85	65.4	68.74	0.3835	0.7146	0.7313	0.7126
Mean	76.264	58.128	64.214	67.123	0.3498	0.697	0.7306	0.7186
Indep	71.9	68.56	70.36	70.26	0.4049	0.7112	0.778	0.7969
