	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	61.67	57.38	58.73	59.5	0.1906	0.6016	0.6271	0.6123
Fold 1	61.25	66.8	64.47	64.05	0.281	0.6282	0.6904	0.6715
Fold 2	58.75	60.66	59.49	59.71	0.1941	0.5912	0.6518	0.6429
Fold 3	61.09	59.02	59.35	60.04	0.2011	0.6021	0.6271	0.6168
Fold 4	57.74	60.25	58.72	59.01	0.1799	0.5823	0.6075	0.5707
Fold 5	62.76	63.52	62.76	63.15	0.2629	0.6276	0.6709	0.643
Fold 6	62.92	60.49	61.13	61.7	0.2342	0.6201	0.6625	0.6617
Fold 7	60.0	61.32	60.5	60.66	0.2132	0.6025	0.6685	0.6839
Fold 8	58.75	60.91	59.75	59.83	0.1966	0.5924	0.6438	0.6378
Fold 9	60.42	59.26	59.43	59.83	0.1968	0.5992	0.6365	0.6363
Mean	60.535	60.961	60.433	60.748	0.215	0.6047	0.6486	0.6377
Indep	64.23	64.39	65.19	64.31	0.2862	0.6471	0.6822	0.6839
