	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	64.17	54.51	58.11	59.3	0.1876	0.6099	0.608	0.6651
Fold 1	62.08	61.07	61.07	61.57	0.2315	0.6157	0.6406	0.6772
Fold 2	64.58	55.74	58.94	60.12	0.204	0.6163	0.6057	0.6586
Fold 3	64.44	54.51	58.11	59.42	0.1903	0.6111	0.6152	0.6761
Fold 4	61.09	54.92	57.03	57.97	0.1603	0.5899	0.5897	0.6343
Fold 5	64.02	61.89	62.2	62.94	0.2591	0.6309	0.6374	0.6848
Fold 6	64.58	58.85	60.78	61.7	0.2347	0.6263	0.6288	0.6787
Fold 7	66.25	54.73	59.11	60.46	0.2112	0.6248	0.6245	0.6803
Fold 8	59.58	53.5	55.86	56.52	0.131	0.5766	0.5838	0.6496
Fold 9	63.75	55.97	58.85	59.83	0.1977	0.612	0.6068	0.6568
Mean	63.454	56.569	59.006	59.983	0.2007	0.6113	0.614	0.6662
Indep	63.87	57.95	61.19	60.97	0.2186	0.625	0.6615	0.6759
