	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	75.83	69.67	71.09	72.73	0.4558	0.7339	0.801	0.7884
Fold 1	76.25	68.03	70.11	72.11	0.4442	0.7305	0.7804	0.7735
Fold 2	73.33	68.44	69.57	70.87	0.4182	0.714	0.7964	0.7692
Fold 3	73.64	68.44	69.57	71.01	0.4213	0.7154	0.7807	0.7326
Fold 4	69.04	65.16	66.0	67.08	0.3422	0.6748	0.7801	0.7799
Fold 5	73.64	65.57	67.69	69.57	0.3933	0.7054	0.7818	0.7573
Fold 6	71.67	70.78	70.78	71.22	0.4245	0.7122	0.7804	0.7715
Fold 7	73.33	68.31	69.57	70.81	0.4169	0.714	0.7707	0.7651
Fold 8	70.42	71.6	71.01	71.01	0.4203	0.7071	0.758	0.7611
Fold 9	71.25	64.2	66.28	67.7	0.3553	0.6867	0.7418	0.693
Mean	72.84	68.02	69.167	70.411	0.4092	0.7094	0.7771	0.7592
Indep	74.09	68.56	70.98	71.38	0.4273	0.725	0.7734	0.7739
