	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	56.67	61.07	58.87	58.88	0.1775	0.5775	0.6073	0.5985
Fold 1	42.5	63.11	53.12	52.89	0.0574	0.4722	0.562	0.5665
Fold 2	57.5	66.39	62.73	61.98	0.2399	0.6	0.6608	0.6186
Fold 3	57.32	62.3	59.83	59.83	0.1964	0.5855	0.6138	0.5848
Fold 4	52.72	63.11	58.33	57.97	0.1592	0.5538	0.6176	0.615
Fold 5	54.39	58.2	56.03	56.31	0.126	0.552	0.5692	0.5563
Fold 6	55.83	67.08	62.62	61.49	0.2306	0.5903	0.6368	0.6299
Fold 7	49.17	62.55	56.46	55.9	0.1183	0.5256	0.5977	0.5794
Fold 8	56.25	59.26	57.69	57.76	0.1552	0.5696	0.6147	0.6089
Fold 9	58.75	68.31	64.68	63.56	0.2719	0.6157	0.663	0.6456
Mean	54.11	63.138	59.036	58.657	0.1732	0.5642	0.6143	0.6004
Indep	54.74	62.12	60.0	58.36	0.1691	0.5725	0.619	0.6253
