	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	65.0	65.16	64.73	65.08	0.3016	0.6486	0.684	0.7
Fold 1	58.33	64.34	61.67	61.36	0.2272	0.5996	0.6683	0.694
Fold 2	70.83	63.11	65.38	66.94	0.3404	0.68	0.7082	0.7298
Fold 3	62.34	65.57	63.95	63.98	0.2793	0.6314	0.6808	0.7037
Fold 4	64.44	61.48	62.1	62.94	0.2592	0.6324	0.6866	0.7065
Fold 5	70.71	63.11	65.25	66.87	0.3391	0.6787	0.7083	0.736
Fold 6	65.83	61.73	62.95	63.77	0.2758	0.6436	0.675	0.7038
Fold 7	60.83	62.55	61.6	61.7	0.2339	0.6122	0.6708	0.6882
Fold 8	66.67	57.61	60.84	62.11	0.2438	0.6362	0.6653	0.7052
Fold 9	65.0	61.73	62.65	63.35	0.2674	0.638	0.6812	0.6898
Mean	64.998	62.639	63.112	63.81	0.2768	0.6401	0.6828	0.7057
Indep	64.6	64.02	65.07	64.31	0.2861	0.6484	0.692	0.7147
