	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	71.67	68.44	69.08	70.04	0.4012	0.7035	0.7606	0.7338
Fold 1	69.58	68.44	68.44	69.01	0.3803	0.6901	0.7652	0.7412
Fold 2	73.33	67.21	68.75	70.25	0.4061	0.7097	0.7577	0.7368
Fold 3	70.29	63.93	65.62	67.08	0.3429	0.6788	0.7394	0.7138
Fold 4	68.62	67.21	67.21	67.91	0.3583	0.6791	0.7751	0.7762
Fold 5	74.48	65.16	67.68	69.77	0.398	0.7092	0.7505	0.7241
Fold 6	64.17	72.84	70.0	68.53	0.3715	0.6696	0.7578	0.7212
Fold 7	72.5	65.02	67.18	68.74	0.3762	0.6974	0.7422	0.7187
Fold 8	70.83	69.96	69.96	70.39	0.4079	0.7039	0.7557	0.7476
Fold 9	73.75	63.79	66.79	68.74	0.3771	0.701	0.7637	0.748
Mean	70.922	67.2	68.071	69.046	0.382	0.6942	0.7568	0.7361
Indep	67.52	67.8	68.52	67.66	0.3532	0.6801	0.7498	0.74
