	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	42.92	55.33	48.58	49.17	-0.0177	0.4558	0.4997	0.4919
Fold 1	42.92	61.48	52.28	52.27	0.0447	0.4714	0.5439	0.5523
Fold 2	45.42	58.2	51.66	51.86	0.0364	0.4834	0.5243	0.5067
Fold 3	44.35	63.11	54.08	53.83	0.076	0.4874	0.5434	0.5346
Fold 4	38.91	67.21	53.76	53.21	0.0639	0.4515	0.5335	0.5312
Fold 5	37.66	53.69	44.33	45.76	-0.0877	0.4072	0.4744	0.4746
Fold 6	45.42	63.79	55.33	54.66	0.0936	0.4989	0.5375	0.5329
Fold 7	39.17	60.08	49.21	49.69	-0.0077	0.4362	0.4896	0.4925
Fold 8	44.58	59.67	52.2	52.17	0.043	0.4809	0.5192	0.4982
Fold 9	48.33	53.91	50.88	51.14	0.0225	0.4957	0.5031	0.5129
Mean	42.968	59.647	51.231	51.376	0.0267	0.4668	0.5169	0.5128
Indep	44.89	62.5	55.41	53.53	0.075	0.496	0.5217	0.5193
