	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	64.58	59.02	60.78	61.78	0.2363	0.6263	0.67	0.6433
Fold 1	50.83	68.85	61.62	59.92	0.2002	0.5571	0.6572	0.6278
Fold 2	60.83	65.98	63.76	63.43	0.2685	0.6226	0.6619	0.6439
Fold 3	62.34	64.34	63.14	63.35	0.2669	0.6274	0.6586	0.6152
Fold 4	59.41	61.07	59.92	60.25	0.2048	0.5966	0.6273	0.6023
Fold 5	60.25	64.75	62.61	62.53	0.2503	0.6141	0.6449	0.6236
Fold 6	60.83	66.26	64.04	63.56	0.2713	0.6239	0.6815	0.66
Fold 7	58.33	63.79	61.4	61.08	0.2215	0.5983	0.6494	0.6248
Fold 8	62.08	59.26	60.08	60.66	0.2135	0.6107	0.6311	0.6331
Fold 9	58.75	63.37	61.3	61.08	0.2215	0.6	0.6537	0.6437
Mean	59.823	63.669	61.865	61.764	0.2355	0.6077	0.6536	0.6318
Indep	62.77	62.12	63.24	62.45	0.2489	0.63	0.6762	0.685
