	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	69.58	71.72	70.76	70.66	0.4132	0.7017	0.7426	0.7198
Fold 1	66.25	65.98	65.7	66.12	0.3223	0.6598	0.7166	0.6721
Fold 2	64.58	65.98	65.13	65.29	0.3057	0.6485	0.7057	0.6811
Fold 3	66.95	60.66	62.5	63.77	0.2765	0.6465	0.674	0.6307
Fold 4	59.83	68.44	65.0	64.18	0.2839	0.6231	0.7105	0.6861
Fold 5	66.95	63.93	64.52	65.42	0.3089	0.6571	0.7134	0.6837
Fold 6	64.58	67.49	66.24	66.05	0.3209	0.654	0.7075	0.6714
Fold 7	61.25	67.08	64.76	64.18	0.2838	0.6296	0.6962	0.6836
Fold 8	66.67	67.9	67.23	67.29	0.3457	0.6695	0.7301	0.7129
Fold 9	68.33	60.91	63.32	64.6	0.2932	0.6573	0.7005	0.6867
Mean	65.497	66.009	65.516	65.756	0.3154	0.6547	0.7097	0.6828
Indep	63.5	67.42	66.92	65.43	0.3094	0.6517	0.7175	0.7289
