	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	43.75	55.74	49.3	49.79	-0.0052	0.4636	0.4988	0.4925
Fold 1	42.5	60.66	51.52	51.65	0.0321	0.4658	0.5435	0.5521
Fold 2	45.0	58.2	51.43	51.65	0.0322	0.48	0.5206	0.5049
Fold 3	43.51	63.52	53.89	53.62	0.0719	0.4815	0.5432	0.5339
Fold 4	38.08	66.8	52.91	52.59	0.0509	0.4428	0.5334	0.5358
Fold 5	38.08	54.51	45.05	46.38	-0.0752	0.4127	0.4735	0.475
Fold 6	45.0	63.79	55.1	54.45	0.0895	0.4954	0.5366	0.5332
Fold 7	40.0	59.67	49.48	49.9	-0.0034	0.4424	0.4904	0.4936
Fold 8	44.58	59.67	52.2	52.17	0.043	0.4809	0.517	0.5002
Fold 9	48.33	53.5	50.66	50.93	0.0183	0.4947	0.503	0.5126
Mean	42.883	59.606	51.154	51.313	0.0254	0.466	0.516	0.5134
Indep	45.26	62.12	55.36	53.53	0.0748	0.498	0.5224	0.5185
