	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	77.92	76.64	76.64	77.27	0.5456	0.7727	0.8307	0.8092
Fold 1	70.42	75.0	73.48	72.73	0.4547	0.7191	0.7966	0.7835
Fold 2	75.83	74.18	74.29	75.0	0.5002	0.7505	0.8242	0.8035
Fold 3	76.57	73.36	73.79	74.95	0.4995	0.7515	0.8207	0.7852
Fold 4	72.8	71.31	71.31	72.05	0.4411	0.7205	0.804	0.7998
Fold 5	76.57	74.59	74.69	75.57	0.5116	0.7562	0.821	0.7998
Fold 6	72.08	73.25	72.69	72.67	0.4534	0.7238	0.8222	0.8219
Fold 7	75.42	71.6	72.4	73.5	0.4705	0.7388	0.8099	0.8086
Fold 8	69.58	75.31	73.57	72.46	0.4497	0.7152	0.7942	0.8075
Fold 9	71.67	69.14	69.64	70.39	0.4081	0.7064	0.7825	0.7671
Mean	73.886	73.438	73.25	73.659	0.4734	0.7355	0.8106	0.7986
Indep	72.63	73.48	73.98	73.05	0.461	0.733	0.7978	0.8106
