	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	63.75	70.49	68.0	67.15	0.3433	0.6581	0.722	0.6985
Fold 1	71.67	72.13	71.67	71.9	0.438	0.7167	0.7722	0.7535
Fold 2	75.0	61.07	65.45	67.98	0.364	0.699	0.7511	0.7295
Fold 3	79.5	54.51	63.12	66.87	0.3509	0.7037	0.7428	0.6999
Fold 4	75.73	62.3	66.3	68.94	0.3835	0.707	0.7677	0.7652
Fold 5	61.51	68.85	65.92	65.22	0.3045	0.6364	0.6951	0.6506
Fold 6	53.75	73.25	66.49	63.56	0.2754	0.5945	0.7039	0.6975
Fold 7	54.17	68.72	63.11	61.49	0.2314	0.583	0.6826	0.6874
Fold 8	69.58	69.55	69.29	69.57	0.3913	0.6944	0.7461	0.7424
Fold 9	71.67	56.79	62.09	64.18	0.2877	0.6654	0.7275	0.7019
Mean	67.633	65.766	66.144	66.686	0.337	0.6658	0.7311	0.7126
Indep	70.07	70.08	70.85	70.07	0.4014	0.7046	0.7412	0.7391
