	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	60.83	59.43	59.59	60.12	0.2026	0.6021	0.6322	0.6043
Fold 1	57.92	63.11	60.7	60.54	0.2106	0.5928	0.6297	0.6131
Fold 2	57.92	61.07	59.4	59.5	0.1899	0.5865	0.6383	0.6196
Fold 3	60.25	59.02	59.02	59.63	0.1927	0.5963	0.6474	0.6034
Fold 4	53.56	62.7	58.45	58.18	0.1633	0.559	0.626	0.5912
Fold 5	59.0	62.3	60.52	60.66	0.213	0.5975	0.6277	0.5938
Fold 6	63.33	62.14	62.3	62.73	0.2547	0.6281	0.6722	0.6757
Fold 7	57.08	61.73	59.57	59.42	0.1883	0.583	0.6424	0.6232
Fold 8	56.67	59.67	58.12	58.18	0.1635	0.5738	0.6314	0.6249
Fold 9	55.42	60.08	57.83	57.76	0.1552	0.566	0.6204	0.6278
Mean	58.198	61.125	59.55	59.672	0.1934	0.5885	0.6368	0.6177
Indep	60.58	62.88	62.88	61.71	0.2346	0.6171	0.6754	0.6852
