	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	87.92	29.1	54.95	58.26	0.2101	0.6763	0.6397	0.5884
Fold 1	88.33	26.23	54.08	57.02	0.1856	0.6709	0.6568	0.6363
Fold 2	91.25	23.36	53.94	57.02	0.1987	0.678	0.6566	0.6322
Fold 3	86.19	18.85	50.99	52.17	0.0682	0.6407	0.6035	0.5965
Fold 4	86.61	29.92	54.76	57.97	0.2004	0.671	0.6702	0.6544
Fold 5	92.05	23.77	54.19	57.56	0.2161	0.6822	0.6967	0.6774
Fold 6	84.17	22.63	51.79	53.21	0.0862	0.6413	0.6108	0.5932
Fold 7	87.92	25.1	53.69	56.31	0.1672	0.6667	0.6395	0.6217
Fold 8	85.42	23.05	52.3	54.04	0.1082	0.6487	0.5921	0.5886
Fold 9	92.5	16.87	52.36	54.45	0.1431	0.6687	0.6079	0.5781
Mean	88.236	23.888	53.305	55.801	0.1584	0.6644	0.6374	0.6167
Indep	85.4	21.97	53.18	54.28	0.0955	0.6555	0.6346	0.6512
