	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	52.92	55.33	53.81	54.13	0.0825	0.5336	0.5699	0.5884
Fold 1	59.17	61.07	59.92	60.12	0.2024	0.5954	0.6284	0.6531
Fold 2	60.42	60.66	60.17	60.54	0.2107	0.6029	0.6324	0.6565
Fold 3	56.49	56.15	55.79	56.31	0.1263	0.5613	0.5902	0.6094
Fold 4	58.58	56.15	56.68	57.35	0.1473	0.5761	0.5809	0.5909
Fold 5	60.67	60.25	59.92	60.46	0.2091	0.6029	0.6341	0.6473
Fold 6	53.75	65.84	60.85	59.83	0.1974	0.5708	0.6199	0.6329
Fold 7	58.75	61.73	60.26	60.25	0.2049	0.5949	0.639	0.6728
Fold 8	57.92	58.85	58.16	58.39	0.1676	0.5804	0.5819	0.605
Fold 9	54.17	58.44	56.28	56.31	0.1261	0.552	0.5842	0.6153
Mean	57.284	59.447	58.184	58.369	0.1674	0.577	0.6061	0.6272
Indep	59.12	62.12	61.83	60.59	0.2125	0.6045	0.6377	0.6594
