	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	73.75	67.62	69.14	70.66	0.4144	0.7137	0.7492	0.7426
Fold 1	36.25	80.33	64.44	58.47	0.1848	0.464	0.6165	0.6245
Fold 2	77.08	44.26	57.63	60.54	0.2258	0.6595	0.6798	0.6746
Fold 3	87.03	46.72	61.54	66.67	0.3682	0.721	0.7723	0.7608
Fold 4	94.56	23.77	54.85	58.8	0.2588	0.6943	0.6548	0.6924
Fold 5	97.07	20.49	54.46	58.39	0.2722	0.6977	0.598	0.6686
Fold 6	80.83	31.69	53.89	56.11	0.1437	0.6467	0.561	0.6421
Fold 7	76.25	43.21	57.01	59.63	0.2061	0.6524	0.6462	0.659
Fold 8	79.17	43.62	58.1	61.28	0.2437	0.6702	0.6785	0.6812
Fold 9	55.0	51.44	52.8	53.21	0.0644	0.5388	0.5409	0.583
Mean	75.699	45.315	58.386	60.376	0.2382	0.6458	0.6497	0.6729
Indep	81.39	42.05	59.31	62.08	0.2554	0.6862	0.7022	0.7044
