	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	38.75	66.8	53.45	52.89	0.0579	0.4493	0.5663	0.5555
Fold 1	66.25	38.52	51.46	52.27	0.0497	0.5792	0.5296	0.5255
Fold 2	62.08	45.08	52.65	53.51	0.0727	0.5698	0.5423	0.5196
Fold 3	60.25	58.2	58.54	59.21	0.1845	0.5938	0.605	0.5841
Fold 4	16.74	91.8	66.67	54.66	0.1294	0.2676	0.5437	0.5511
Fold 5	78.66	29.51	52.22	53.83	0.0938	0.6277	0.5778	0.5376
Fold 6	50.83	64.61	58.65	57.76	0.1559	0.5446	0.6159	0.5885
Fold 7	35.42	70.78	54.49	53.21	0.0663	0.4293	0.5376	0.5355
Fold 8	5.83	92.59	43.75	49.48	-0.0316	0.1029	0.5017	0.4986
Fold 9	92.92	16.05	52.22	54.24	0.14	0.6687	0.5527	0.6204
Mean	50.773	57.394	54.41	54.106	0.0919	0.4833	0.5573	0.5516
Indep	50.36	61.36	57.5	55.76	0.118	0.537	0.5878	0.5787
