	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	74.17	75.41	74.79	74.79	0.4958	0.7448	0.8331	0.8292
Fold 1	75.42	73.36	73.58	74.38	0.4878	0.7449	0.8069	0.8099
Fold 2	78.75	73.77	74.7	76.24	0.5257	0.7667	0.8206	0.7947
Fold 3	72.8	72.95	72.5	72.88	0.4575	0.7265	0.8027	0.7943
Fold 4	73.22	74.18	73.53	73.71	0.474	0.7338	0.8182	0.8094
Fold 5	79.08	73.36	74.41	76.19	0.5251	0.7667	0.8269	0.8146
Fold 6	74.17	68.72	70.08	71.43	0.4295	0.7206	0.789	0.766
Fold 7	75.83	70.78	71.94	73.29	0.4667	0.7383	0.8042	0.7887
Fold 8	71.67	71.6	71.37	71.64	0.4327	0.7152	0.7926	0.8163
Fold 9	75.0	70.78	71.71	72.88	0.4582	0.7332	0.7805	0.7477
Mean	75.011	72.491	72.861	73.743	0.4753	0.7391	0.8075	0.7971
Indep	70.8	73.48	73.48	72.12	0.4429	0.7212	0.8055	0.8182
