	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	61.67	59.43	59.92	60.54	0.211	0.6078	0.6458	0.6483
Fold 1	64.17	63.11	63.11	63.64	0.2728	0.6364	0.6783	0.672
Fold 2	62.92	61.07	61.38	61.98	0.2398	0.6214	0.654	0.6515
Fold 3	63.18	57.79	59.45	60.46	0.2099	0.6126	0.6369	0.6534
Fold 4	59.83	56.56	57.43	58.18	0.164	0.5861	0.6128	0.6018
Fold 5	63.18	65.16	63.98	64.18	0.2835	0.6358	0.6734	0.6711
Fold 6	63.33	65.02	64.14	64.18	0.2836	0.6373	0.6645	0.6736
Fold 7	63.33	58.02	59.84	60.66	0.2139	0.6154	0.6628	0.6761
Fold 8	58.33	57.61	57.61	57.97	0.1595	0.5797	0.6263	0.6459
Fold 9	62.92	54.32	57.63	58.59	0.173	0.6016	0.6328	0.6397
Mean	62.286	59.809	60.449	61.038	0.2211	0.6134	0.6488	0.6533
Indep	62.77	61.36	62.77	62.08	0.2414	0.6277	0.6665	0.6697
