	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	24.58	93.85	79.73	59.5	0.2561	0.3758	0.7514	0.7268
Fold 1	84.17	48.36	61.59	66.12	0.348	0.7113	0.7379	0.7012
Fold 2	73.75	60.25	64.6	66.94	0.343	0.6887	0.7156	0.6909
Fold 3	34.31	85.66	70.09	60.25	0.233	0.4607	0.7059	0.6669
Fold 4	41.0	85.66	73.68	63.56	0.2984	0.5269	0.7257	0.6967
Fold 5	94.56	24.59	55.12	59.21	0.2673	0.6965	0.7315	0.7071
Fold 6	27.08	87.65	68.42	57.56	0.1854	0.3881	0.7165	0.6753
Fold 7	52.5	75.31	67.74	63.98	0.2857	0.5915	0.7084	0.6866
Fold 8	97.92	2.88	49.89	50.1	0.0256	0.661	0.7496	0.7419
Fold 9	53.75	77.37	70.11	65.63	0.3204	0.6085	0.7219	0.7089
Mean	58.362	64.158	66.097	61.285	0.2563	0.5709	0.7264	0.7002
Indep	64.96	68.94	68.46	66.91	0.3392	0.6667	0.7239	0.7266
