	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	72.92	27.87	49.86	50.21	0.0088	0.5922	0.4702	0.454
Fold 1	23.75	79.51	53.27	51.86	0.0393	0.3285	0.5511	0.5322
Fold 2	12.92	82.79	42.47	48.14	-0.06	0.1981	0.516	0.4894
Fold 3	60.25	45.49	51.99	52.8	0.0581	0.5581	0.5375	0.5277
Fold 4	69.87	35.66	51.54	52.59	0.0588	0.5933	0.5634	0.5576
Fold 5	46.86	52.46	49.12	49.69	-0.0068	0.4797	0.4995	0.4929
Fold 6	2.5	97.12	46.15	50.1	-0.0118	0.0474	0.4793	0.4845
Fold 7	9.58	93.0	57.5	51.55	0.0469	0.1643	0.4879	0.5072
Fold 8	17.92	80.25	47.25	49.28	-0.0235	0.2598	0.4727	0.4718
Fold 9	57.92	43.62	50.36	50.72	0.0155	0.5388	0.5353	0.5119
Mean	37.449	63.777	49.951	50.694	0.0125	0.376	0.5113	0.5029
Indep	12.77	87.12	50.72	49.26	-0.0016	0.2041	0.5329	0.5261
