	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	31.67	68.44	49.67	50.21	0.0012	0.3868	0.5195	0.5044
Fold 1	35.42	71.31	54.84	53.51	0.0721	0.4304	0.5599	0.533
Fold 2	36.67	68.03	53.01	52.48	0.0495	0.4335	0.5331	0.541
Fold 3	56.9	56.15	55.97	56.52	0.1305	0.5643	0.5618	0.5339
Fold 4	57.74	51.64	53.91	54.66	0.094	0.5576	0.5567	0.5512
Fold 5	52.72	59.43	56.0	56.11	0.1217	0.5431	0.5707	0.5712
Fold 6	50.42	55.56	52.84	53.0	0.0598	0.516	0.5391	0.5575
Fold 7	42.08	65.84	54.89	54.04	0.0816	0.4764	0.5448	0.5643
Fold 8	55.0	55.56	55.0	55.28	0.1056	0.55	0.5748	0.5865
Fold 9	52.5	53.91	52.94	53.21	0.0641	0.5272	0.5672	0.544
Mean	47.112	60.587	53.907	53.902	0.078	0.4985	0.5528	0.5487
Indep	38.32	78.03	64.42	57.81	0.1779	0.4805	0.6213	0.6436
