	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	52.5	51.23	51.43	51.86	0.0373	0.5196	0.5417	0.5434
Fold 1	53.33	58.2	55.65	55.79	0.1154	0.5447	0.5575	0.5473
Fold 2	47.92	62.3	55.56	55.17	0.1032	0.5145	0.5758	0.564
Fold 3	57.32	58.2	57.32	57.76	0.1552	0.5732	0.5992	0.5812
Fold 4	51.88	57.79	54.63	54.87	0.0969	0.5322	0.5589	0.5582
Fold 5	47.7	54.1	50.44	50.93	0.018	0.4903	0.5147	0.5022
Fold 6	51.25	65.84	59.71	58.59	0.1728	0.5516	0.5878	0.5788
Fold 7	53.75	51.85	52.44	52.8	0.056	0.5309	0.5184	0.5232
Fold 8	56.67	57.2	56.67	56.94	0.1387	0.5667	0.5652	0.5621
Fold 9	52.08	65.02	59.52	58.59	0.1725	0.5556	0.5925	0.5648
Mean	52.44	58.173	55.337	55.33	0.1066	0.5379	0.5612	0.5525
Indep	51.09	59.47	56.68	55.2	0.106	0.5374	0.5721	0.5768
