	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	75.42	75.41	75.1	75.41	0.5083	0.7526	0.8159	0.7941
Fold 1	72.5	71.31	71.31	71.9	0.4381	0.719	0.79	0.7765
Fold 2	75.0	70.49	71.43	72.73	0.4553	0.7317	0.8061	0.7807
Fold 3	76.15	71.72	72.51	73.91	0.4791	0.7429	0.8055	0.7711
Fold 4	74.48	71.72	72.06	73.08	0.4621	0.7325	0.807	0.7967
Fold 5	75.73	72.13	72.69	73.91	0.4788	0.7418	0.7967	0.7655
Fold 6	72.5	72.84	72.5	72.67	0.4534	0.725	0.7968	0.7979
Fold 7	75.0	74.49	74.38	74.74	0.4948	0.7469	0.8318	0.8453
Fold 8	69.58	70.37	69.87	69.98	0.3996	0.6973	0.7864	0.7956
Fold 9	71.67	68.72	69.35	70.19	0.404	0.7049	0.7559	0.7366
Mean	73.803	71.92	72.12	72.852	0.4574	0.7295	0.7992	0.786
Indep	73.72	74.62	75.09	74.16	0.4834	0.744	0.8063	0.825
