	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	64.58	60.25	61.51	62.4	0.2485	0.6301	0.6769	0.6385
Fold 1	56.67	68.44	63.85	62.6	0.2529	0.6004	0.672	0.649
Fold 2	64.17	63.52	63.37	63.84	0.2769	0.6377	0.6754	0.6398
Fold 3	59.83	64.34	62.17	62.11	0.242	0.6098	0.6527	0.6007
Fold 4	61.09	60.25	60.08	60.66	0.2133	0.6058	0.6257	0.5992
Fold 5	60.25	64.75	62.61	62.53	0.2503	0.6141	0.6544	0.632
Fold 6	55.42	64.2	60.45	59.83	0.1969	0.5783	0.6675	0.6641
Fold 7	61.25	64.2	62.82	62.73	0.2546	0.6203	0.6456	0.6414
Fold 8	58.75	61.73	60.26	60.25	0.2049	0.5949	0.6294	0.6142
Fold 9	60.42	62.14	61.18	61.28	0.2256	0.608	0.651	0.6583
Mean	60.243	63.382	61.83	61.823	0.2366	0.6099	0.6551	0.6337
Indep	62.04	67.05	66.15	64.5	0.2911	0.6403	0.6864	0.6992
