	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	60.0	66.39	63.72	63.22	0.2645	0.618	0.6332	0.7186
Fold 1	57.5	59.02	57.98	58.26	0.1652	0.5774	0.5826	0.6828
Fold 2	61.25	63.11	62.03	62.19	0.2437	0.6164	0.6218	0.7125
Fold 3	61.51	58.61	59.27	60.04	0.2012	0.6037	0.6006	0.6991
Fold 4	67.36	69.26	68.22	68.32	0.3663	0.6779	0.6831	0.7587
Fold 5	61.92	61.07	60.91	61.49	0.2299	0.6141	0.6141	0.707
Fold 6	58.33	57.2	57.38	57.76	0.1554	0.5785	0.5777	0.6821
Fold 7	57.08	61.73	59.57	59.42	0.1883	0.583	0.5941	0.6899
Fold 8	61.67	56.38	58.27	59.01	0.1807	0.5992	0.5902	0.6949
Fold 9	61.25	53.09	56.32	57.14	0.1438	0.5868	0.5717	0.6841
Mean	60.787	60.586	60.367	60.685	0.2139	0.6055	0.6069	0.703
Indep	73.36	57.58	64.22	65.61	0.3135	0.6848	0.7259	0.7395
